timestamp,Temp,CPU,Memo
2021-05-16T11:54:38.456Z,64,26.7,31.1
2021-05-16T12:04:39.219Z,64.4,26.6,31
2021-05-16T12:14:39.960Z,64,26.7,31
2021-05-16T12:24:40.838Z,64,26.9,31
2021-05-16T12:34:41.667Z,64.3,27,31
2021-05-16T12:44:42.449Z,64.5,26.7,31
2021-05-16T12:54:43.127Z,64.5,26.9,31
2021-05-16T13:04:44.281Z,64.7,26.8,31
2021-05-16T13:14:58.034Z,64.8,,31
2021-05-16T13:15:08.724Z,,26.6
2021-05-16T13:24:58.839Z,64.8,,31
2021-05-16T13:25:09.571Z,,26.7
2021-05-16T13:34:59.600Z,64.9,,31
2021-05-16T13:35:11.942Z,,26.8
2021-05-16T13:45:40.466Z,64.9,,31
2021-05-16T13:45:51.150Z,,26.9
2021-05-16T13:55:41.338Z,65,,31
2021-05-16T13:55:52.512Z,,26.7
2021-05-16T14:05:41.984Z,65.1,,31
2021-05-16T14:05:52.729Z,,26.8
2021-05-16T14:15:42.732Z,65.2,,31
2021-05-16T14:15:53.450Z,,26.8
2021-05-16T14:25:43.630Z,65.5,,31
2021-05-16T14:25:54.308Z,,26.7
2021-05-16T14:35:44.405Z,65.4,,31
2021-05-16T14:35:55.058Z,,26.6
2021-05-16T14:45:45.165Z,65.4,,31
2021-05-16T14:45:55.866Z,,26.6
2021-05-16T14:55:45.942Z,65.4,,31
2021-05-16T14:55:56.631Z,,26.8
2021-05-16T15:05:46.696Z,65.3,,31
2021-05-16T15:05:57.809Z,,26.8
2021-05-16T15:15:47.323Z,65.4,,31
2021-05-16T15:15:58.189Z,,26.9
